,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
    264,20,960,l1,320,False,1,4,0.6015436565364201
360,20,3840,l1,1280,False,1,8,0.600578871201157
336,15,2880,l1,960,False,1,8,0.594307766521948
372,20,3840,l1,1280,True,1,8,0.5928605885190541
276,20,960,l1,320,True,1,4,0.583212735166425
240,15,720,l1,240,False,1,4,0.582247949831162
348,15,2880,l1,960,True,1,8,0.570670525808007
324,10,1920,l1,640,True,1,8,0.5672937771345871
252,15,720,l1,240,True,1,4,0.5629522431259041
216,10,480,l1,160,False,1,4,0.56150506512301
337,15,2880,l2,960,False,1,8,0.56150506512301
373,20,3840,l2,1280,True,1,8,0.558128316449589
277,20,960,l2,320,True,1,4,0.5557163531114321
266,20,960,l1,320,False,5,4,0.555233960443801
265,20,960,l2,320,False,1,4,0.5547515677761691
361,20,3840,l2,1280,False,1,8,0.5547515677761691
228,10,480,l1,160,True,1,4,0.554269175108538
362,20,3840,l1,1280,False,5,8,0.551857211770381
325,10,1920,l2,640,True,1,8,0.5494452484322231
242,15,720,l1,240,False,5,4,0.548962855764592
204,5,240,l1,80,True,1,4,0.548962855764592
278,20,960,l1,320,True,5,4,0.542691751085383
312,10,1920,l1,640,False,1,8,0.54172696575012
349,15,2880,l2,960,True,1,8,0.538832609744331
268,20,960,l1,320,False,11,4,0.537867824409069
300,5,960,l1,320,True,1,8,0.537867824409069
338,15,2880,l1,960,False,5,8,0.537867824409069
241,15,720,l2,240,False,1,4,0.537385431741437
229,10,480,l2,160,True,1,4,0.535455861070911
280,20,960,l1,320,True,11,4,0.5340086830680171
270,20,960,l1,320,False,15,4,0.5340086830680171
364,20,3840,l1,1280,False,11,8,0.533526290400385
313,10,1920,l2,640,False,1,8,0.532561505065123
244,15,720,l1,240,False,11,4,0.531114327062228
374,20,3840,l1,1280,True,5,8,0.530149541726965
168,20,240,l1,80,False,1,2,0.529667149059334
144,15,180,l1,60,False,1,2,0.529184756391702
253,15,720,l2,240,True,1,4,0.527255185721177
217,10,480,l2,160,False,1,4,0.526290400385914
282,20,960,l1,320,True,15,4,0.525325615050651
366,20,3840,l1,1280,False,15,8,0.5224312590448621
218,10,480,l1,160,False,5,4,0.5224312590448621
180,20,240,l1,80,True,1,2,0.5214664737095991
254,15,720,l1,240,True,5,4,0.5214664737095991
301,5,960,l2,320,True,1,8,0.520984081041968
363,20,3840,l2,1280,False,5,8,0.5205016883743361
339,15,2880,l2,960,False,5,8,0.520019295706705
246,15,720,l1,240,False,15,4,0.5195369030390731
340,15,2880,l1,960,False,11,8,0.5185721177038111
350,15,2880,l1,960,True,5,8,0.515677761698022
205,5,240,l2,80,True,1,4,0.514712976362759
272,20,960,l1,320,False,25,4,0.5142305836951271
256,15,720,l1,240,True,11,4,0.5123010130246021
342,15,2880,l1,960,False,15,8,0.51181862035697
156,15,180,l1,60,True,1,2,0.5113362276893391
376,20,3840,l1,1280,True,11,8,0.508924264351181
284,20,960,l1,320,True,25,4,0.5069946936806561
230,10,480,l1,160,True,5,4,0.5069946936806561
341,15,2880,l2,960,False,11,8,0.5069946936806561
378,20,3840,l1,1280,True,15,8,0.505547515677761
248,15,720,l1,240,False,25,4,0.5041003376748671
267,20,960,l2,320,False,5,4,0.503617945007235
326,10,1920,l1,640,True,5,8,0.503135552339604
258,15,720,l1,240,True,15,4,0.503135552339604
279,20,960,l2,320,True,5,4,0.50168837433671
243,15,720,l2,240,False,5,4,0.499758803666184
314,10,1920,l1,640,False,5,8,0.499758803666184
368,20,3840,l1,1280,False,25,8,0.499758803666184
222,10,480,l1,160,False,15,4,0.499276410998552
220,10,480,l1,160,False,11,4,0.499276410998552
146,15,180,l1,60,False,5,2,0.498794018330921
234,10,480,l1,160,True,15,4,0.49734684032802706
232,10,480,l1,160,True,11,4,0.49686444766039506
192,5,240,l1,80,False,1,4,0.49541726965750105
328,10,1920,l1,640,True,11,8,0.49493487698986904
148,15,180,l1,60,False,11,2,0.49493487698986904
365,20,3840,l2,1280,False,11,8,0.49300530631934303
269,20,960,l2,320,False,11,4,0.49300530631934303
344,15,2880,l1,960,False,25,8,0.492522913651712
327,10,1920,l2,640,True,5,8,0.492522913651712
289,5,960,l2,320,False,1,8,0.492040520984081
255,15,720,l2,240,True,5,4,0.491558128316449
288,5,960,l1,320,False,1,8,0.491075735648818
375,20,3840,l2,1280,True,5,8,0.49059334298118606
351,15,2880,l2,960,True,5,8,0.49059334298118606
352,15,2880,l1,960,True,11,8,0.49059334298118606
231,10,480,l2,160,True,5,4,0.48962855764592306
354,15,2880,l1,960,True,15,8,0.48914616497829205
170,20,240,l1,80,False,5,2,0.48914616497829205
206,5,240,l1,80,True,5,4,0.48818137964302905
184,20,240,l1,80,True,11,2,0.48721659430776604
316,10,1920,l1,640,False,11,8,0.48673420164013503
260,15,720,l1,240,True,25,4,0.48625180897250303
343,15,2880,l2,960,False,15,8,0.48528702363724
274,20,960,l1,320,False,45,4,0.48528702363724
182,20,240,l1,80,True,5,2,0.483839845634346
169,20,240,l2,80,False,1,2,0.483839845634346
353,15,2880,l2,960,True,11,8,0.48335745296671406
281,20,960,l2,320,True,11,4,0.48335745296671406
158,15,180,l1,60,True,5,2,0.48287506029908306
233,10,480,l2,160,True,11,4,0.48287506029908306
247,15,720,l2,240,False,15,4,0.48287506029908306
315,10,1920,l2,640,False,5,8,0.48239266763145205
172,20,240,l1,80,False,11,2,0.48239266763145205
181,20,240,l2,80,True,1,2,0.48239266763145205
145,15,180,l2,60,False,1,2,0.48191027496382005
245,15,720,l2,240,False,11,4,0.48094548962855704
286,20,960,l1,320,True,45,4,0.48046309696092604
367,20,3840,l2,1280,False,15,8,0.48046309696092604
330,10,1920,l1,640,True,15,8,0.47998070429329404
377,20,3840,l2,1280,True,11,8,0.47901591895803103
219,10,480,l2,160,False,5,4,0.4785335262904
150,15,180,l1,60,False,15,2,0.478051133622768
303,5,960,l2,320,True,5,8,0.478051133622768
224,10,480,l1,160,False,25,4,0.477568740955137
302,5,960,l1,320,True,5,8,0.477086348287506
120,10,120,l1,40,False,1,2,0.477086348287506
329,10,1920,l2,640,True,11,8,0.47660395561987406
250,15,720,l1,240,False,45,4,0.47612156295224306
271,20,960,l2,320,False,15,4,0.47563917028461106
186,20,240,l1,80,True,15,2,0.47515677761698005
193,5,240,l2,80,False,1,4,0.47467438494934805
160,15,180,l1,60,True,11,2,0.47370959961408504
380,20,3840,l1,1280,True,25,8,0.47370959961408504
257,15,720,l2,240,True,11,4,0.47322720694645404
283,20,960,l2,320,True,15,4,0.47274481427882303
157,15,180,l2,60,True,1,2,0.47274481427882303
355,15,2880,l2,960,True,15,8,0.47274481427882303
356,15,2880,l1,960,True,25,8,0.471297636275928
318,10,1920,l1,640,False,15,8,0.470332850940665
174,20,240,l1,80,False,15,2,0.469850458273034
132,10,120,l1,40,True,1,2,0.46840328027013906
317,10,1920,l2,640,False,11,8,0.46840328027013906
208,5,240,l1,80,True,11,4,0.46840328027013906
379,20,3840,l2,1280,True,15,8,0.46840328027013906
345,15,2880,l2,960,False,25,8,0.46840328027013906
152,15,180,l1,60,False,25,2,0.46695610226724504
72,20,60,l1,20,False,1,1,0.46695610226724504
236,10,480,l1,160,True,25,4,0.46695610226724504
331,10,1920,l2,640,True,15,8,0.46502653159671903
249,15,720,l2,240,False,25,4,0.46502653159671903
221,10,480,l2,160,False,11,4,0.463579353593825
162,15,180,l1,60,True,15,2,0.463579353593825
207,5,240,l2,80,True,5,4,0.463096960926193
259,15,720,l2,240,True,15,4,0.462614568258562
370,20,3840,l1,1280,False,45,8,0.46213217559093106
332,10,1920,l1,640,True,25,8,0.46213217559093106
210,5,240,l1,80,True,15,4,0.46164978292329906
285,20,960,l2,320,True,25,4,0.46116739025566805
235,10,480,l2,160,True,15,4,0.46020260492040505
223,10,480,l2,160,False,15,4,0.456825856246985
319,10,1920,l2,640,False,15,8,0.456343463579353
346,15,2880,l1,960,False,45,8,0.455861070911722
183,20,240,l2,80,True,5,2,0.45537867824409006
188,20,240,l1,80,True,25,2,0.45489628557645906
176,20,240,l1,80,False,25,2,0.45441389290882706
262,15,720,l1,240,True,45,4,0.45441389290882706
357,15,2880,l2,960,True,25,8,0.45441389290882706
226,10,480,l1,160,False,45,4,0.45393150024119605
261,15,720,l2,240,True,25,4,0.45344910757356405
304,5,960,l1,320,True,11,8,0.45248432223830204
305,5,960,l2,320,True,11,8,0.45248432223830204
273,20,960,l2,320,False,25,4,0.45200192957067004
133,10,120,l2,40,True,1,2,0.450554751567776
290,5,960,l1,320,False,5,8,0.449589966232513
291,5,960,l2,320,False,5,8,0.449107573564881
122,10,120,l1,40,False,5,2,0.449107573564881
209,5,240,l2,80,True,11,4,0.449107573564881
369,20,3840,l2,1280,False,25,8,0.44814278822961806
134,10,120,l1,40,True,5,2,0.44717800289435605
121,10,120,l2,40,False,1,2,0.44621321755909304
321,10,1920,l2,640,False,25,8,0.44573082489146104
159,15,180,l2,60,True,5,2,0.44428364688856703
333,10,1920,l2,640,True,25,8,0.44428364688856703
382,20,3840,l1,1280,True,45,8,0.44428364688856703
238,10,480,l1,160,True,45,4,0.443318861553304
