,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
176,20,960,l1,320,False,1,4,0.677966101694915
178,20,960,l1,320,False,5,4,0.6731234866828081
180,20,960,l1,320,False,15,4,0.670702179176755
182,20,960,l1,320,False,25,4,0.668280871670702
368,20,960,l1,320,False,1,4,0.6513317191283291
372,20,960,l1,320,False,15,4,0.648910411622276
370,20,960,l1,320,False,5,4,0.644067796610169
164,15,720,l1,240,False,15,4,0.6319612590799031
378,20,960,l1,320,True,5,4,0.629539951573849
181,20,960,l2,320,False,15,4,0.629539951573849
179,20,960,l2,320,False,5,4,0.629539951573849
381,20,960,l2,320,True,15,4,0.629539951573849
190,20,960,l1,320,True,25,4,0.629539951573849
380,20,960,l1,320,True,15,4,0.627118644067796
184,20,960,l1,320,True,1,4,0.6246973365617431
186,20,960,l1,320,True,5,4,0.6246973365617431
177,20,960,l2,320,False,1,4,0.6246973365617431
168,15,720,l1,240,True,1,4,0.62227602905569
166,15,720,l1,240,False,25,4,0.62227602905569
146,10,480,l1,160,False,5,4,0.62227602905569
374,20,960,l1,320,False,25,4,0.62227602905569
371,20,960,l2,320,False,5,4,0.6198547215496361
98,15,180,l1,60,False,5,2,0.6174334140435831
160,15,720,l1,240,False,1,4,0.6174334140435831
338,10,480,l1,160,False,5,4,0.6174334140435831
188,20,960,l1,320,True,15,4,0.6174334140435831
169,15,720,l2,240,True,1,4,0.61501210653753
376,20,960,l1,320,True,1,4,0.61501210653753
162,15,720,l1,240,False,5,4,0.61501210653753
96,15,180,l1,60,False,1,2,0.61501210653753
148,10,480,l1,160,False,15,4,0.6125907990314771
382,20,960,l1,320,True,25,4,0.6125907990314771
170,15,720,l1,240,True,5,4,0.60774818401937
100,15,180,l1,60,False,15,2,0.60774818401937
306,20,240,l1,80,False,5,2,0.60774818401937
304,20,240,l1,80,False,1,2,0.6053268765133171
102,15,180,l1,60,False,25,2,0.602905569007263
174,15,720,l1,240,True,25,4,0.602905569007263
152,10,480,l1,160,True,1,4,0.60048426150121
364,15,720,l1,240,True,15,4,0.60048426150121
373,20,960,l2,320,False,15,4,0.60048426150121
153,10,480,l2,160,True,1,4,0.5980629539951571
