,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
176,20,960,l1,320,False,1,4,0.677966101694915
178,20,960,l1,320,False,5,4,0.6731234866828081
180,20,960,l1,320,False,15,4,0.670702179176755
182,20,960,l1,320,False,25,4,0.668280871670702
164,15,720,l1,240,False,15,4,0.6319612590799031
179,20,960,l2,320,False,5,4,0.629539951573849
190,20,960,l1,320,True,25,4,0.629539951573849
181,20,960,l2,320,False,15,4,0.629539951573849
186,20,960,l1,320,True,5,4,0.6246973365617431
177,20,960,l2,320,False,1,4,0.6246973365617431
184,20,960,l1,320,True,1,4,0.6246973365617431
166,15,720,l1,240,False,25,4,0.62227602905569
168,15,720,l1,240,True,1,4,0.62227602905569
146,10,480,l1,160,False,5,4,0.62227602905569
160,15,720,l1,240,False,1,4,0.6174334140435831
188,20,960,l1,320,True,15,4,0.6174334140435831
98,15,180,l1,60,False,5,2,0.6174334140435831
169,15,720,l2,240,True,1,4,0.61501210653753
96,15,180,l1,60,False,1,2,0.61501210653753
162,15,720,l1,240,False,5,4,0.61501210653753
148,10,480,l1,160,False,15,4,0.6125907990314771
170,15,720,l1,240,True,5,4,0.60774818401937
100,15,180,l1,60,False,15,2,0.60774818401937
174,15,720,l1,240,True,25,4,0.602905569007263
102,15,180,l1,60,False,25,2,0.602905569007263
152,10,480,l1,160,True,1,4,0.60048426150121
156,10,480,l1,160,True,15,4,0.5980629539951571
153,10,480,l2,160,True,1,4,0.5980629539951571
97,15,180,l2,60,False,1,2,0.5980629539951571
150,10,480,l1,160,False,25,4,0.595641646489104
183,20,960,l2,320,False,25,4,0.595641646489104
161,15,720,l2,240,False,1,4,0.59322033898305
120,20,240,l1,80,True,1,2,0.59322033898305
144,10,480,l1,160,False,1,4,0.59322033898305
187,20,960,l2,320,True,5,4,0.5907990314769971
112,20,240,l1,80,False,1,2,0.5907990314769971
122,20,240,l1,80,True,5,2,0.5907990314769971
185,20,960,l2,320,True,1,4,0.585956416464891
163,15,720,l2,240,False,5,4,0.585956416464891
138,5,240,l1,80,True,5,4,0.585956416464891
103,15,180,l2,60,False,25,2,0.5835351089588371
172,15,720,l1,240,True,15,4,0.5835351089588371
