,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
178,20,960,l1,320,False,5,4,0.5524475524475521
180,20,960,l1,320,False,15,4,0.5268065268065261
162,15,720,l1,240,False,5,4,0.524475524475524
164,15,720,l1,240,False,15,4,0.508158508158508
182,20,960,l1,320,False,25,4,0.505827505827505
188,20,960,l1,320,True,15,4,0.505827505827505
184,20,960,l1,320,True,1,4,0.49883449883449804
160,15,720,l1,240,False,1,4,0.49883449883449804
186,20,960,l1,320,True,5,4,0.496503496503496
176,20,960,l1,320,False,1,4,0.49417249417249404
161,15,720,l2,240,False,1,4,0.48717948717948706
50,20,60,l1,20,False,5,1,0.48251748251748205
154,10,480,l1,160,True,5,4,0.48018648018648
120,20,240,l1,80,True,1,2,0.48018648018648
98,15,180,l1,60,False,5,2,0.475524475524475
58,20,60,l1,20,True,5,1,0.475524475524475
163,15,720,l2,240,False,5,4,0.47319347319347305
96,15,180,l1,60,False,1,2,0.47319347319347305
144,10,480,l1,160,False,1,4,0.47086247086247
166,15,720,l1,240,False,25,4,0.47086247086247
190,20,960,l1,320,True,25,4,0.47086247086247
60,20,60,l1,20,True,15,1,0.46853146853146804
152,10,480,l1,160,True,1,4,0.46853146853146804
187,20,960,l2,320,True,5,4,0.46853146853146804
179,20,960,l2,320,False,5,4,0.466200466200466
122,20,240,l1,80,True,5,2,0.46386946386946304
177,20,960,l2,320,False,1,4,0.46386946386946304
165,15,720,l2,240,False,15,4,0.46386946386946304
156,10,480,l1,160,True,15,4,0.461538461538461
185,20,960,l2,320,True,1,4,0.461538461538461
168,15,720,l1,240,True,1,4,0.461538461538461
116,20,240,l1,80,False,15,2,0.45687645687645606
100,15,180,l1,60,False,15,2,0.45454545454545403
62,20,60,l1,20,True,25,1,0.45454545454545403
114,20,240,l1,80,False,5,2,0.45454545454545403
170,15,720,l1,240,True,5,4,0.45454545454545403
36,15,45,l1,15,False,15,1,0.449883449883449
181,20,960,l2,320,False,15,4,0.449883449883449
97,15,180,l2,60,False,1,2,0.44755244755244705
56,20,60,l1,20,True,1,1,0.44755244755244705
54,20,60,l1,20,False,25,1,0.445221445221445
34,15,45,l1,15,False,5,1,0.445221445221445
51,20,60,l2,20,False,5,1,0.445221445221445
118,20,240,l1,80,False,25,2,0.44289044289044205
157,10,480,l2,160,True,15,4,0.44289044289044205
48,20,60,l1,20,False,1,1,0.44289044289044205
140,5,240,l1,80,True,15,4,0.44055944055944
145,10,480,l2,160,False,1,4,0.44055944055944
106,15,180,l1,60,True,5,2,0.44055944055944
183,20,960,l2,320,False,25,4,0.44055944055944
172,15,720,l1,240,True,15,4,0.44055944055944
52,20,60,l1,20,False,15,1,0.43822843822843804
124,20,240,l1,80,True,15,2,0.43822843822843804
104,15,180,l1,60,True,1,2,0.43822843822843804
169,15,720,l2,240,True,1,4,0.43822843822843804
121,20,240,l2,80,True,1,2,0.43822843822843804
112,20,240,l1,80,False,1,2,0.43822843822843804
167,15,720,l2,240,False,25,4,0.43822843822843804
38,15,45,l1,15,False,25,1,0.435897435897435
61,20,60,l2,20,True,15,1,0.43356643356643304
189,20,960,l2,320,True,15,4,0.43356643356643304
117,20,240,l2,80,False,15,2,0.431235431235431
158,10,480,l1,160,True,25,4,0.431235431235431
99,15,180,l2,60,False,5,2,0.431235431235431
101,15,180,l2,60,False,15,2,0.42890442890442804
136,5,240,l1,80,True,1,4,0.42890442890442804
139,5,240,l2,80,True,5,4,0.42890442890442804
126,20,240,l1,80,True,25,2,0.42890442890442804
107,15,180,l2,60,True,5,2,0.426573426573426
155,10,480,l2,160,True,5,4,0.426573426573426
141,5,240,l2,80,True,15,4,0.426573426573426
59,20,60,l2,20,True,5,1,0.426573426573426
37,15,45,l2,15,False,15,1,0.426573426573426
159,10,480,l2,160,True,25,4,0.42424242424242403
113,20,240,l2,80,False,1,2,0.42191142191142106
138,5,240,l1,80,True,5,4,0.42191142191142106
115,20,240,l2,80,False,5,2,0.42191142191142106
153,10,480,l2,160,True,1,4,0.42191142191142106
90,10,120,l1,40,True,5,2,0.41958041958041903
49,20,60,l2,20,False,1,1,0.41958041958041903
123,20,240,l2,80,True,5,2,0.41958041958041903
102,15,180,l1,60,False,25,2,0.41958041958041903
146,10,480,l1,160,False,5,4,0.41958041958041903
119,20,240,l2,80,False,25,2,0.41724941724941705
108,15,180,l1,60,True,15,2,0.41724941724941705
82,10,120,l1,40,False,5,2,0.41724941724941705
53,20,60,l2,20,False,15,1,0.414918414918414
55,20,60,l2,20,False,25,1,0.414918414918414
43,15,45,l2,15,True,5,1,0.414918414918414
173,15,720,l2,240,True,15,4,0.41258741258741205
148,10,480,l1,160,False,15,4,0.41258741258741205
91,10,120,l2,40,True,5,2,0.41258741258741205
32,15,45,l1,15,False,1,1,0.41258741258741205
57,20,60,l2,20,True,1,1,0.41258741258741205
125,20,240,l2,80,True,15,2,0.41025641025641
174,15,720,l1,240,True,25,4,0.41025641025641
137,5,240,l2,80,True,1,4,0.41025641025641
142,5,240,l1,80,True,25,4,0.40792540792540705
175,15,720,l2,240,True,25,4,0.40792540792540705
171,15,720,l2,240,True,5,4,0.40792540792540705
39,15,45,l2,15,False,25,1,0.40792540792540705
110,15,180,l1,60,True,25,2,0.405594405594405
150,10,480,l1,160,False,25,4,0.405594405594405
132,5,240,l1,80,False,15,4,0.405594405594405
191,20,960,l2,320,True,25,4,0.405594405594405
80,10,120,l1,40,False,1,2,0.405594405594405
63,20,60,l2,20,True,25,1,0.40326340326340304
35,15,45,l2,15,False,5,1,0.40326340326340304
93,10,120,l2,40,True,15,2,0.4009324009324
143,5,240,l2,80,True,25,4,0.4009324009324
130,5,240,l1,80,False,5,4,0.39860139860139804
103,15,180,l2,60,False,25,2,0.39860139860139804
128,5,240,l1,80,False,1,4,0.39860139860139804
127,20,240,l2,80,True,25,2,0.396270396270396
42,15,45,l1,15,True,5,1,0.396270396270396
94,10,120,l1,40,True,25,2,0.39393939393939303
40,15,45,l1,15,True,1,1,0.39393939393939303
92,10,120,l1,40,True,15,2,0.391608391608391
88,10,120,l1,40,True,1,2,0.391608391608391
147,10,480,l2,160,False,5,4,0.391608391608391
149,10,480,l2,160,False,15,4,0.38927738927738903
83,10,120,l2,40,False,5,2,0.38927738927738903
109,15,180,l2,60,True,15,2,0.38694638694638606
33,15,45,l2,15,False,1,1,0.38694638694638606
105,15,180,l2,60,True,1,2,0.384615384615384
89,10,120,l2,40,True,1,2,0.38228438228438205
41,15,45,l2,15,True,1,1,0.379953379953379
129,5,240,l2,80,False,1,4,0.379953379953379
131,5,240,l2,80,False,5,4,0.379953379953379
18,10,30,l1,10,False,5,1,0.37762237762237705
134,5,240,l1,80,False,25,4,0.37762237762237705
111,15,180,l2,60,True,25,2,0.37762237762237705
151,10,480,l2,160,False,25,4,0.375291375291375
28,10,30,l1,10,True,15,1,0.375291375291375
86,10,120,l1,40,False,25,2,0.375291375291375
133,5,240,l2,80,False,15,4,0.37296037296037304
20,10,30,l1,10,False,15,1,0.37296037296037304
84,10,120,l1,40,False,15,2,0.37296037296037304
75,5,60,l2,20,True,5,2,0.37062937062937
135,5,240,l2,80,False,25,4,0.37062937062937
22,10,30,l1,10,False,25,1,0.36829836829836804
26,10,30,l1,10,True,5,1,0.36829836829836804
77,5,60,l2,20,True,15,2,0.36829836829836804
21,10,30,l2,10,False,15,1,0.36829836829836804
46,15,45,l1,15,True,25,1,0.36829836829836804
45,15,45,l2,15,True,15,1,0.365967365967365
74,5,60,l1,20,True,5,2,0.365967365967365
44,15,45,l1,15,True,15,1,0.365967365967365
29,10,30,l2,10,True,15,1,0.361305361305361
24,10,30,l1,10,True,1,1,0.361305361305361
95,10,120,l2,40,True,25,2,0.35897435897435903
85,10,120,l2,40,False,15,2,0.35897435897435903
76,5,60,l1,20,True,15,2,0.356643356643356
30,10,30,l1,10,True,25,1,0.356643356643356
79,5,60,l2,20,True,25,2,0.354312354312354
27,10,30,l2,10,True,5,1,0.354312354312354
31,10,30,l2,10,True,25,1,0.349650349650349
19,10,30,l2,10,False,5,1,0.349650349650349
16,10,30,l1,10,False,1,1,0.34731934731934705
72,5,60,l1,20,True,1,2,0.34731934731934705
47,15,45,l2,15,True,25,1,0.344988344988344
78,5,60,l1,20,True,25,2,0.344988344988344
87,10,120,l2,40,False,25,2,0.34265734265734205
73,5,60,l2,20,True,1,2,0.34265734265734205
23,10,30,l2,10,False,25,1,0.34265734265734205
64,5,60,l1,20,False,1,2,0.34032634032634
81,10,120,l2,40,False,1,2,0.33799533799533804
17,10,30,l2,10,False,1,1,0.33799533799533804
65,5,60,l2,20,False,1,2,0.335664335664335
25,10,30,l2,10,True,1,1,0.335664335664335
15,5,15,l2,5,True,25,1,0.335664335664335
12,5,15,l1,5,True,15,1,0.319347319347319
66,5,60,l1,20,False,5,2,0.31235431235431205
14,5,15,l1,5,True,25,1,0.31235431235431205
13,5,15,l2,5,True,15,1,0.305361305361305
70,5,60,l1,20,False,25,2,0.3006993006993
69,5,60,l2,20,False,15,2,0.296037296037296
68,5,60,l1,20,False,15,2,0.291375291375291
71,5,60,l2,20,False,25,2,0.286713286713286
67,5,60,l2,20,False,5,2,0.284382284382284
11,5,15,l2,5,True,5,1,0.27039627039627
10,5,15,l1,5,True,5,1,0.27039627039627
4,5,15,l1,5,False,15,1,0.27039627039627
3,5,15,l2,5,False,5,1,0.26340326340326303
2,5,15,l1,5,False,5,1,0.24941724941724902
5,5,15,l2,5,False,15,1,0.24708624708624702
6,5,15,l1,5,False,25,1,0.24708624708624702
9,5,15,l2,5,True,1,1,0.237762237762237
7,5,15,l2,5,False,25,1,0.237762237762237
8,5,15,l1,5,True,1,1,0.237762237762237
0,5,15,l1,5,False,1,1,0.233100233100233
1,5,15,l2,5,False,1,1,0.21212121212121202
