,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
120,20,240,l1,80,True,1,2,0.7434052757793761
160,15,720,l1,240,False,1,4,0.726618705035971
96,15,180,l1,60,False,1,2,0.712230215827338
112,20,240,l1,80,False,1,2,0.7050359712230211
176,20,960,l1,320,False,1,4,0.7050359712230211
104,15,180,l1,60,True,1,2,0.702637889688249
128,5,240,l1,80,False,1,4,0.697841726618705
178,20,960,l1,320,False,5,4,0.697841726618705
154,10,480,l1,160,True,5,4,0.6954436450839321
168,15,720,l1,240,True,1,4,0.69304556354916
162,15,720,l1,240,False,5,4,0.69304556354916
88,10,120,l1,40,True,1,2,0.6906474820143881
136,5,240,l1,80,True,1,4,0.6906474820143881
146,10,480,l1,160,False,5,4,0.6906474820143881
121,20,240,l2,80,True,1,2,0.688249400479616
180,20,960,l1,320,False,15,4,0.688249400479616
152,10,480,l1,160,True,1,4,0.6858513189448441
122,20,240,l1,80,True,5,2,0.683453237410071
184,20,960,l1,320,True,1,4,0.683453237410071
98,15,180,l1,60,False,5,2,0.678657074340527
177,20,960,l2,320,False,1,4,0.678657074340527
114,20,240,l1,80,False,5,2,0.6762589928057551
153,10,480,l2,160,True,1,4,0.6762589928057551
186,20,960,l1,320,True,5,4,0.6762589928057551
144,10,480,l1,160,False,1,4,0.6762589928057551
97,15,180,l2,60,False,1,2,0.673860911270983
137,5,240,l2,80,True,1,4,0.673860911270983
80,10,120,l1,40,False,1,2,0.673860911270983
89,10,120,l2,40,True,1,2,0.6714628297362111
161,15,720,l2,240,False,1,4,0.6714628297362111
182,20,960,l1,320,False,25,4,0.6714628297362111
82,10,120,l1,40,False,5,2,0.669064748201438
106,15,180,l1,60,True,5,2,0.669064748201438
189,20,960,l2,320,True,15,4,0.669064748201438
156,10,480,l1,160,True,15,4,0.6666666666666661
158,10,480,l1,160,True,25,4,0.6666666666666661
105,15,180,l2,60,True,1,2,0.664268585131894
155,10,480,l2,160,True,5,4,0.664268585131894
187,20,960,l2,320,True,5,4,0.664268585131894
170,15,720,l1,240,True,5,4,0.664268585131894
90,10,120,l1,40,True,5,2,0.664268585131894
188,20,960,l1,320,True,15,4,0.65947242206235
107,15,180,l2,60,True,5,2,0.65947242206235
179,20,960,l2,320,False,5,4,0.65947242206235
157,10,480,l2,160,True,15,4,0.65947242206235
190,20,960,l1,320,True,25,4,0.6570743405275781
174,15,720,l1,240,True,25,4,0.6570743405275781
164,15,720,l1,240,False,15,4,0.6570743405275781
113,20,240,l2,80,False,1,2,0.6570743405275781
100,15,180,l1,60,False,15,2,0.654676258992805
123,20,240,l2,80,True,5,2,0.654676258992805
166,15,720,l1,240,False,25,4,0.654676258992805
159,10,480,l2,160,True,25,4,0.6522781774580331
129,5,240,l2,80,False,1,4,0.6522781774580331
81,10,120,l2,40,False,1,2,0.649880095923261
72,5,60,l1,20,True,1,2,0.649880095923261
124,20,240,l1,80,True,15,2,0.649880095923261
185,20,960,l2,320,True,1,4,0.6474820143884891
145,10,480,l2,160,False,1,4,0.6474820143884891
163,15,720,l2,240,False,5,4,0.6474820143884891
139,5,240,l2,80,True,5,4,0.645083932853717
147,10,480,l2,160,False,5,4,0.645083932853717
32,15,45,l1,15,False,1,1,0.645083932853717
149,10,480,l2,160,False,15,4,0.6426858513189441
150,10,480,l1,160,False,25,4,0.6426858513189441
56,20,60,l1,20,True,1,1,0.640287769784172
181,20,960,l2,320,False,15,4,0.640287769784172
169,15,720,l2,240,True,1,4,0.640287769784172
64,5,60,l1,20,False,1,2,0.640287769784172
91,10,120,l2,40,True,5,2,0.640287769784172
171,15,720,l2,240,True,5,4,0.640287769784172
172,15,720,l1,240,True,15,4,0.640287769784172
148,10,480,l1,160,False,15,4,0.6378896882494001
191,20,960,l2,320,True,25,4,0.6378896882494001
130,5,240,l1,80,False,5,4,0.635491606714628
83,10,120,l2,40,False,5,2,0.635491606714628
93,10,120,l2,40,True,15,2,0.6330935251798561
92,10,120,l1,40,True,15,2,0.6330935251798561
138,5,240,l1,80,True,5,4,0.6330935251798561
99,15,180,l2,60,False,5,2,0.6282973621103111
116,20,240,l1,80,False,15,2,0.625899280575539
165,15,720,l2,240,False,15,4,0.625899280575539
109,15,180,l2,60,True,15,2,0.625899280575539
65,5,60,l2,20,False,1,2,0.6235011990407671
140,5,240,l1,80,True,15,4,0.6235011990407671
84,10,120,l1,40,False,15,2,0.6235011990407671
183,20,960,l2,320,False,25,4,0.6235011990407671
102,15,180,l1,60,False,25,2,0.621103117505995
115,20,240,l2,80,False,5,2,0.621103117505995
108,15,180,l1,60,True,15,2,0.6187050359712231
110,15,180,l1,60,True,25,2,0.6187050359712231
57,20,60,l2,20,True,1,1,0.6187050359712231
73,5,60,l2,20,True,1,2,0.61630695443645
101,15,180,l2,60,False,15,2,0.6139088729016781
141,5,240,l2,80,True,15,4,0.6139088729016781
94,10,120,l1,40,True,25,2,0.6139088729016781
74,5,60,l1,20,True,5,2,0.611510791366906
77,5,60,l2,20,True,15,2,0.611510791366906
126,20,240,l1,80,True,25,2,0.611510791366906
76,5,60,l1,20,True,15,2,0.6091127098321341
175,15,720,l2,240,True,25,4,0.6091127098321341
75,5,60,l2,20,True,5,2,0.6091127098321341
132,5,240,l1,80,False,15,4,0.6091127098321341
142,5,240,l1,80,True,25,4,0.606714628297362
125,20,240,l2,80,True,15,2,0.60431654676259
173,15,720,l2,240,True,15,4,0.601918465227817
95,10,120,l2,40,True,25,2,0.601918465227817
85,10,120,l2,40,False,15,2,0.601918465227817
67,5,60,l2,20,False,5,2,0.601918465227817
66,5,60,l1,20,False,5,2,0.5995203836930451
40,15,45,l1,15,True,1,1,0.5995203836930451
71,5,60,l2,20,False,25,2,0.597122302158273
151,10,480,l2,160,False,25,4,0.597122302158273
131,5,240,l2,80,False,5,4,0.594724220623501
118,20,240,l1,80,False,25,2,0.592326139088729
133,5,240,l2,80,False,15,4,0.592326139088729
111,15,180,l2,60,True,25,2,0.592326139088729
87,10,120,l2,40,False,25,2,0.592326139088729
143,5,240,l2,80,True,25,4,0.589928057553956
36,15,45,l1,15,False,15,1,0.589928057553956
33,15,45,l2,15,False,1,1,0.589928057553956
69,5,60,l2,20,False,15,2,0.585131894484412
68,5,60,l1,20,False,15,2,0.585131894484412
58,20,60,l1,20,True,5,1,0.585131894484412
48,20,60,l1,20,False,1,1,0.58273381294964
167,15,720,l2,240,False,25,4,0.58273381294964
103,15,180,l2,60,False,25,2,0.580335731414868
41,15,45,l2,15,True,1,1,0.580335731414868
