,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
184,20,960,l1,320,True,1,4,0.561576354679802
176,20,960,l1,320,False,1,4,0.5443349753694581
168,15,720,l1,240,True,1,4,0.5443349753694581
185,20,960,l2,320,True,1,4,0.5344827586206891
160,15,720,l1,240,False,1,4,0.524630541871921
152,10,480,l1,160,True,1,4,0.519704433497536
153,10,480,l2,160,True,1,4,0.514778325123152
169,15,720,l2,240,True,1,4,0.509852216748768
144,10,480,l1,160,False,1,4,0.5
145,10,480,l2,160,False,1,4,0.49014778325123104
186,20,960,l1,320,True,5,4,0.48768472906403904
177,20,960,l2,320,False,1,4,0.48768472906403904
161,15,720,l2,240,False,1,4,0.475369458128078
187,20,960,l2,320,True,5,4,0.475369458128078
112,20,240,l1,80,False,1,2,0.475369458128078
178,20,960,l1,320,False,5,4,0.472906403940886
159,10,480,l2,160,True,25,4,0.46798029556650206
146,10,480,l1,160,False,5,4,0.46551724137931005
136,5,240,l1,80,True,1,4,0.46305418719211805
128,5,240,l1,80,False,1,4,0.46305418719211805
120,20,240,l1,80,True,1,2,0.46305418719211805
137,5,240,l2,80,True,1,4,0.46059113300492605
157,10,480,l2,160,True,15,4,0.46059113300492605
156,10,480,l1,160,True,15,4,0.46059113300492605
154,10,480,l1,160,True,5,4,0.45566502463054104
155,10,480,l2,160,True,5,4,0.45320197044334903
104,15,180,l1,60,True,1,2,0.45073891625615703
96,15,180,l1,60,False,1,2,0.45073891625615703
182,20,960,l1,320,False,25,4,0.45073891625615703
190,20,960,l1,320,True,25,4,0.45073891625615703
170,15,720,l1,240,True,5,4,0.448275862068965
188,20,960,l1,320,True,15,4,0.445812807881773
158,10,480,l1,160,True,25,4,0.443349753694581
172,15,720,l1,240,True,15,4,0.443349753694581
121,20,240,l2,80,True,1,2,0.443349753694581
189,20,960,l2,320,True,15,4,0.443349753694581
97,15,180,l2,60,False,1,2,0.440886699507389
162,15,720,l1,240,False,5,4,0.438423645320197
180,20,960,l1,320,False,15,4,0.438423645320197
113,20,240,l2,80,False,1,2,0.438423645320197
80,10,120,l1,40,False,1,2,0.43596059113300406
164,15,720,l1,240,False,15,4,0.43596059113300406
166,15,720,l1,240,False,25,4,0.43349753694581206
122,20,240,l1,80,True,5,2,0.43349753694581206
191,20,960,l2,320,True,25,4,0.43349753694581206
148,10,480,l1,160,False,15,4,0.43103448275862005
129,5,240,l2,80,False,1,4,0.43103448275862005
179,20,960,l2,320,False,5,4,0.42857142857142805
181,20,960,l2,320,False,15,4,0.42857142857142805
88,10,120,l1,40,True,1,2,0.42364532019704404
82,10,120,l1,40,False,5,2,0.42118226600985204
149,10,480,l2,160,False,15,4,0.42118226600985204
89,10,120,l2,40,True,1,2,0.42118226600985204
84,10,120,l1,40,False,15,2,0.42118226600985204
163,15,720,l2,240,False,5,4,0.41871921182266003
114,20,240,l1,80,False,5,2,0.41871921182266003
105,15,180,l2,60,True,1,2,0.41625615763546703
171,15,720,l2,240,True,5,4,0.41625615763546703
138,5,240,l1,80,True,5,4,0.41625615763546703
165,15,720,l2,240,False,15,4,0.41625615763546703
147,10,480,l2,160,False,5,4,0.413793103448275
131,5,240,l2,80,False,5,4,0.413793103448275
130,5,240,l1,80,False,5,4,0.413793103448275
167,15,720,l2,240,False,25,4,0.413793103448275
173,15,720,l2,240,True,15,4,0.411330049261083
106,15,180,l1,60,True,5,2,0.411330049261083
123,20,240,l2,80,True,5,2,0.411330049261083
86,10,120,l1,40,False,25,2,0.408866995073891
72,5,60,l1,20,True,1,2,0.406403940886699
116,20,240,l1,80,False,15,2,0.403940886699507
124,20,240,l1,80,True,15,2,0.403940886699507
103,15,180,l2,60,False,25,2,0.403940886699507
81,10,120,l2,40,False,1,2,0.40147783251231506
115,20,240,l2,80,False,5,2,0.40147783251231506
175,15,720,l2,240,True,25,4,0.40147783251231506
183,20,960,l2,320,False,25,4,0.39901477832512305
143,5,240,l2,80,True,25,4,0.39655172413793105
132,5,240,l1,80,False,15,4,0.39655172413793105
90,10,120,l1,40,True,5,2,0.39655172413793105
151,10,480,l2,160,False,25,4,0.39655172413793105
108,15,180,l1,60,True,15,2,0.39655172413793105
140,5,240,l1,80,True,15,4,0.39408866995073805
174,15,720,l1,240,True,25,4,0.39408866995073805
73,5,60,l2,20,True,1,2,0.39162561576354604
98,15,180,l1,60,False,5,2,0.39162561576354604
150,10,480,l1,160,False,25,4,0.38916256157635404
134,5,240,l1,80,False,25,4,0.38916256157635404
126,20,240,l1,80,True,25,2,0.38669950738916203
127,20,240,l2,80,True,25,2,0.38669950738916203
50,20,60,l1,20,False,5,1,0.38669950738916203
139,5,240,l2,80,True,5,4,0.38669950738916203
40,15,45,l1,15,True,1,1,0.38423645320197003
125,20,240,l2,80,True,15,2,0.38423645320197003
133,5,240,l2,80,False,15,4,0.38423645320197003
135,5,240,l2,80,False,25,4,0.38423645320197003
107,15,180,l2,60,True,5,2,0.381773399014778
91,10,120,l2,40,True,5,2,0.381773399014778
43,15,45,l2,15,True,5,1,0.376847290640394
42,15,45,l1,15,True,5,1,0.376847290640394
56,20,60,l1,20,True,1,1,0.376847290640394
64,5,60,l1,20,False,1,2,0.376847290640394
110,15,180,l1,60,True,25,2,0.376847290640394
118,20,240,l1,80,False,25,2,0.376847290640394
44,15,45,l1,15,True,15,1,0.374384236453201
48,20,60,l1,20,False,1,1,0.374384236453201
102,15,180,l1,60,False,25,2,0.374384236453201
85,10,120,l2,40,False,15,2,0.371921182266009
100,15,180,l1,60,False,15,2,0.371921182266009
46,15,45,l1,15,True,25,1,0.369458128078817
92,10,120,l1,40,True,15,2,0.369458128078817
52,20,60,l1,20,False,15,1,0.369458128078817
101,15,180,l2,60,False,15,2,0.366995073891625
142,5,240,l1,80,True,25,4,0.36453201970443305
141,5,240,l2,80,True,15,4,0.36453201970443305
74,5,60,l1,20,True,5,2,0.36453201970443305
111,15,180,l2,60,True,25,2,0.36453201970443305
109,15,180,l2,60,True,15,2,0.36453201970443305
93,10,120,l2,40,True,15,2,0.36453201970443305
119,20,240,l2,80,False,25,2,0.36453201970443305
87,10,120,l2,40,False,25,2,0.36206896551724105
117,20,240,l2,80,False,15,2,0.35960591133004904
79,5,60,l2,20,True,25,2,0.35960591133004904
83,10,120,l2,40,False,5,2,0.35960591133004904
38,15,45,l1,15,False,25,1,0.35714285714285704
65,5,60,l2,20,False,1,2,0.35714285714285704
41,15,45,l2,15,True,1,1,0.35714285714285704
69,5,60,l2,20,False,15,2,0.35467980295566504
36,15,45,l1,15,False,15,1,0.35467980295566504
37,15,45,l2,15,False,15,1,0.35467980295566504
94,10,120,l1,40,True,25,2,0.35221674876847203
51,20,60,l2,20,False,5,1,0.35221674876847203
53,20,60,l2,20,False,15,1,0.34975369458128003
18,10,30,l1,10,False,5,1,0.34975369458128003
99,15,180,l2,60,False,5,2,0.34975369458128003
54,20,60,l1,20,False,25,1,0.347290640394088
32,15,45,l1,15,False,1,1,0.347290640394088
39,15,45,l2,15,False,25,1,0.347290640394088
13,5,15,l2,5,True,15,1,0.344827586206896
45,15,45,l2,15,True,15,1,0.344827586206896
49,20,60,l2,20,False,1,1,0.344827586206896
57,20,60,l2,20,True,1,1,0.344827586206896
59,20,60,l2,20,True,5,1,0.344827586206896
34,15,45,l1,15,False,5,1,0.342364532019704
